 120.55,  23.20,0.0,0.0,0.0,2.0,33.0,83.0,72.0,89.0,38.0,2.0,1.0,1.0
 121.20,  23.65,0.0,0.0,0.0,0.0,8.0,13.0,43.0,41.0,49.0,32.0,5.0,1.0
 121.25,  23.65,0.0,0.0,0.0,1.0,7.0,14.0,43.0,46.0,59.0,47.0,8.0,1.0
 120.15,  23.70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 120.20,  23.70,0.0,0.0,0.0,2.0,15.0,34.0,25.0,34.0,12.0,1.0,1.0,0.0
 120.25,  23.70,0.0,0.0,0.0,3.0,15.0,33.0,27.0,36.0,13.0,1.0,1.0,0.0
 120.30,  23.70,1.0,0.0,0.0,1.0,15.0,32.0,28.0,35.0,14.0,0.0,1.0,0.0
 120.35,  23.70,0.0,0.0,0.0,3.0,18.0,39.0,33.0,37.0,15.0,1.0,1.0,0.0
 120.40,  23.70,0.0,0.0,0.0,3.0,19.0,38.0,32.0,36.0,17.0,0.0,0.0,0.0
 120.45,  23.70,0.0,0.0,0.0,2.0,14.0,34.0,31.0,40.0,17.0,1.0,0.0,0.0
 120.50,  23.70,0.0,0.0,0.0,2.0,16.0,37.0,39.0,44.0,21.0,1.0,0.0,0.0
 120.55,  23.70,0.0,0.0,0.0,3.0,15.0,36.0,38.0,48.0,16.0,0.0,0.0,0.0
 120.60,  23.70,0.0,1.0,0.0,2.0,17.0,46.0,43.0,56.0,22.0,1.0,0.0,0.0
 120.65,  23.70,0.0,0.0,1.0,2.0,20.0,37.0,36.0,46.0,21.0,2.0,1.0,0.0
 120.70,  23.70,1.0,1.0,1.0,4.0,17.0,37.0,39.0,42.0,24.0,6.0,1.0,0.0
 120.75,  23.70,3.0,1.0,2.0,5.0,24.0,48.0,40.0,49.0,23.0,6.0,2.0,0.0
 120.80,  23.70,1.0,1.0,1.0,5.0,18.0,44.0,29.0,42.0,20.0,4.0,0.0,0.0
 120.85,  23.70,1.0,0.0,1.0,2.0,15.0,36.0,26.0,39.0,17.0,3.0,1.0,0.0
 120.90,  23.70,0.0,0.0,2.0,5.0,15.0,32.0,27.0,40.0,18.0,4.0,1.0,0.0
 120.95,  23.70,1.0,1.0,1.0,5.0,21.0,35.0,31.0,43.0,20.0,4.0,2.0,0.0
 121.00,  23.70,0.0,0.0,1.0,5.0,16.0,33.0,33.0,42.0,22.0,7.0,3.0,0.0
 121.05,  23.70,0.0,0.0,0.0,3.0,9.0,30.0,34.0,37.0,27.0,7.0,2.0,0.0
 121.10,  23.70,0.0,0.0,0.0,2.0,9.0,23.0,37.0,39.0,27.0,13.0,2.0,1.0
 121.15,  23.70,0.0,0.0,0.0,2.0,8.0,17.0,41.0,44.0,34.0,21.0,2.0,1.0
 121.20,  23.70,0.0,0.0,0.0,0.0,11.0,14.0,42.0,47.0,52.0,28.0,4.0,1.0
 121.25,  23.70,0.0,0.0,0.0,1.0,6.0,17.0,46.0,47.0,59.0,37.0,8.0,1.0
 120.15,  23.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 120.20,  23.75,0.0,0.0,0.0,1.0,15.0,31.0,22.0,32.0,11.0,1.0,1.0,0.0
 120.25,  23.75,0.0,0.0,0.0,1.0,16.0,35.0,24.0,34.0,12.0,2.0,1.0,0.0
 120.30,  23.75,1.0,0.0,0.0,1.0,18.0,31.0,25.0,34.0,13.0,1.0,1.0,0.0
 120.35,  23.75,0.0,0.0,0.0,1.0,18.0,31.0,29.0,33.0,13.0,1.0,1.0,0.0
 120.40,  23.75,1.0,0.0,0.0,1.0,22.0,36.0,30.0,34.0,15.0,1.0,0.0,0.0
 120.45,  23.75,0.0,0.0,0.0,1.0,16.0,36.0,23.0,37.0,16.0,1.0,0.0,0.0
 120.50,  23.75,0.0,0.0,0.0,2.0,14.0,29.0,29.0,37.0,18.0,1.0,0.0,0.0
 120.55,  23.75,0.0,0.0,0.0,3.0,16.0,33.0,39.0,41.0,16.0,1.0,0.0,0.0
 120.60,  23.75,1.0,0.0,0.0,3.0,16.0,40.0,45.0,50.0,22.0,1.0,0.0,0.0
 120.65,  23.75,0.0,0.0,0.0,1.0,17.0,33.0,40.0,44.0,15.0,1.0,1.0,0.0
 120.70,  23.75,0.0,0.0,0.0,3.0,19.0,26.0,38.0,38.0,14.0,3.0,1.0,0.0
 120.75,  23.75,0.0,0.0,0.0,3.0,17.0,33.0,32.0,40.0,11.0,3.0,1.0,0.0
 120.80,  23.75,0.0,0.0,0.0,3.0,18.0,38.0,31.0,33.0,17.0,2.0,1.0,0.0
 120.85,  23.75,1.0,0.0,1.0,4.0,17.0,39.0,27.0,32.0,13.0,3.0,1.0,1.0
 120.90,  23.75,1.0,0.0,1.0,3.0,22.0,36.0,25.0,38.0,15.0,2.0,1.0,0.0
 120.95,  23.75,0.0,0.0,2.0,3.0,18.0,38.0,25.0,41.0,18.0,4.0,1.0,0.0
 121.00,  23.75,0.0,0.0,1.0,3.0,15.0,31.0,26.0,39.0,20.0,4.0,1.0,0.0
 121.05,  23.75,0.0,0.0,0.0,4.0,11.0,28.0,28.0,36.0,26.0,7.0,1.0,0.0
 121.10,  23.75,0.0,0.0,0.0,3.0,5.0,21.0,34.0,39.0,26.0,12.0,1.0,1.0
 121.15,  23.75,0.0,0.0,0.0,2.0,6.0,17.0,38.0,46.0,41.0,26.0,2.0,1.0
 121.20,  23.75,1.0,1.0,0.0,3.0,7.0,16.0,45.0,48.0,48.0,31.0,3.0,1.0
 121.25,  23.75,1.0,3.0,1.0,5.0,9.0,14.0,47.0,55.0,50.0,36.0,5.0,1.0
 120.15,  23.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 120.20,  23.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 120.25,  23.80,0.0,0.0,1.0,1.0,14.0,33.0,24.0,26.0,13.0,1.0,1.0,0.0
 120.30,  23.80,0.0,0.0,0.0,1.0,13.0,35.0,21.0,25.0,14.0,1.0,1.0,0.0
 120.35,  23.80,0.0,0.0,0.0,1.0,12.0,32.0,24.0,28.0,14.0,1.0,1.0,0.0
 120.40,  23.80,1.0,0.0,0.0,1.0,19.0,33.0,23.0,31.0,16.0,2.0,0.0,0.0
 120.45,  23.80,0.0,0.0,0.0,1.0,20.0,37.0,26.0,36.0,18.0,1.0,0.0,0.0
 120.50,  23.80,0.0,0.0,0.0,1.0,18.0,34.0,26.0,36.0,15.0,1.0,0.0,0.0
 120.55,  23.80,0.0,0.0,0.0,1.0,20.0,35.0,34.0,34.0,14.0,1.0,0.0,0.0
 120.60,  23.80,0.0,1.0,0.0,1.0,17.0,35.0,39.0,44.0,17.0,1.0,1.0,0.0
 120.65,  23.80,0.0,1.0,0.0,2.0,20.0,34.0,40.0,45.0,18.0,1.0,1.0,0.0
 120.70,  23.80,0.0,0.0,1.0,2.0,18.0,28.0,31.0,39.0,13.0,1.0,1.0,0.0
 120.75,  23.80,0.0,0.0,0.0,4.0,20.0,34.0,28.0,39.0,11.0,4.0,1.0,0.0
 120.80,  23.80,0.0,0.0,0.0,4.0,16.0,36.0,27.0,41.0,12.0,2.0,1.0,0.0
 120.85,  23.80,0.0,0.0,1.0,5.0,19.0,39.0,24.0,35.0,10.0,2.0,0.0,0.0
 120.90,  23.80,0.0,0.0,1.0,7.0,19.0,34.0,27.0,33.0,14.0,2.0,2.0,0.0
 120.95,  23.80,0.0,0.0,3.0,8.0,20.0,37.0,27.0,38.0,16.0,3.0,1.0,0.0
 121.00,  23.80,0.0,0.0,4.0,5.0,20.0,35.0,27.0,41.0,18.0,6.0,1.0,0.0
 121.05,  23.80,0.0,0.0,2.0,4.0,14.0,26.0,26.0,38.0,24.0,6.0,1.0,0.0
 121.10,  23.80,0.0,0.0,0.0,3.0,7.0,20.0,29.0,32.0,26.0,16.0,2.0,1.0
 121.15,  23.80,0.0,0.0,0.0,4.0,5.0,18.0,33.0,40.0,32.0,22.0,2.0,1.0
 121.20,  23.80,0.0,1.0,0.0,2.0,5.0,16.0,35.0,40.0,41.0,28.0,3.0,1.0
 121.25,  23.80,0.0,2.0,0.0,1.0,5.0,12.0,40.0,43.0,44.0,34.0,5.0,1.0
 120.20,  23.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 120.25,  23.85,0.0,0.0,0.0,1.0,13.0,35.0,21.0,27.0,13.0,1.0,1.0,0.0
 120.30,  23.85,0.0,0.0,0.0,2.0,15.0,36.0,25.0,27.0,13.0,1.0,1.0,0.0
 120.35,  23.85,0.0,0.0,0.0,2.0,16.0,35.0,21.0,26.0,14.0,1.0,1.0,0.0
 120.40,  23.85,1.0,0.0,0.0,1.0,19.0,39.0,24.0,32.0,16.0,2.0,1.0,0.0
 120.45,  23.85,1.0,0.0,0.0,1.0,21.0,40.0,24.0,33.0,16.0,1.0,0.0,0.0
 120.50,  23.85,1.0,0.0,0.0,2.0,20.0,39.0,23.0,35.0,14.0,1.0,0.0,0.0
 120.55,  23.85,1.0,0.0,1.0,2.0,20.0,36.0,33.0,34.0,13.0,1.0,0.0,0.0
 120.60,  23.85,1.0,0.0,0.0,1.0,15.0,34.0,35.0,40.0,13.0,1.0,0.0,0.0
 120.65,  23.85,1.0,1.0,0.0,2.0,19.0,32.0,35.0,43.0,14.0,1.0,0.0,0.0
 120.70,  23.85,1.0,1.0,0.0,4.0,18.0,30.0,32.0,45.0,16.0,2.0,1.0,0.0
 120.75,  23.85,0.0,1.0,1.0,5.0,22.0,41.0,30.0,37.0,13.0,2.0,1.0,0.0
 120.80,  23.85,0.0,0.0,1.0,4.0,21.0,37.0,31.0,41.0,11.0,3.0,1.0,0.0
 120.85,  23.85,0.0,0.0,1.0,5.0,18.0,41.0,28.0,37.0,12.0,3.0,1.0,0.0
 120.90,  23.85,0.0,0.0,1.0,7.0,18.0,46.0,32.0,32.0,13.0,2.0,2.0,1.0
 120.95,  23.85,0.0,0.0,3.0,8.0,24.0,50.0,31.0,33.0,15.0,3.0,2.0,0.0
 121.00,  23.85,3.0,2.0,4.0,11.0,28.0,51.0,36.0,37.0,20.0,5.0,2.0,0.0
 121.05,  23.85,0.0,0.0,3.0,5.0,20.0,37.0,27.0,39.0,24.0,6.0,2.0,0.0
 121.10,  23.85,0.0,0.0,2.0,4.0,11.0,26.0,28.0,35.0,24.0,10.0,2.0,1.0
 121.15,  23.85,0.0,1.0,1.0,5.0,11.0,22.0,33.0,35.0,27.0,13.0,1.0,1.0
 121.20,  23.85,0.0,1.0,0.0,3.0,8.0,24.0,34.0,35.0,32.0,16.0,3.0,1.0
 121.25,  23.85,0.0,0.0,0.0,1.0,4.0,17.0,35.0,35.0,34.0,25.0,5.0,1.0
 120.25,  23.90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 120.30,  23.90,0.0,1.0,1.0,2.0,12.0,36.0,19.0,25.0,10.0,1.0,1.0,0.0
 120.35,  23.90,0.0,1.0,1.0,2.0,14.0,36.0,22.0,23.0,12.0,1.0,1.0,0.0
 120.40,  23.90,0.0,0.0,0.0,2.0,21.0,40.0,23.0,25.0,14.0,1.0,1.0,0.0
 120.45,  23.90,0.0,0.0,0.0,1.0,20.0,38.0,22.0,26.0,12.0,1.0,1.0,0.0
 120.50,  23.90,1.0,0.0,0.0,2.0,19.0,41.0,23.0,32.0,13.0,1.0,0.0,0.0
 120.55,  23.90,1.0,0.0,0.0,1.0,20.0,41.0,31.0,41.0,12.0,1.0,0.0,0.0
 120.60,  23.90,0.0,0.0,1.0,1.0,18.0,38.0,36.0,38.0,13.0,1.0,0.0,0.0
 120.65,  23.90,0.0,0.0,1.0,3.0,20.0,46.0,37.0,41.0,12.0,2.0,0.0,0.0
 120.70,  23.90,0.0,0.0,0.0,1.0,22.0,45.0,35.0,39.0,15.0,2.0,0.0,0.0
 120.75,  23.90,0.0,0.0,2.0,2.0,23.0,44.0,33.0,41.0,15.0,3.0,1.0,0.0
 120.80,  23.90,0.0,0.0,2.0,4.0,24.0,42.0,33.0,42.0,13.0,3.0,1.0,0.0
 120.85,  23.90,0.0,0.0,0.0,4.0,19.0,44.0,32.0,42.0,11.0,2.0,1.0,0.0
 120.90,  23.90,0.0,1.0,0.0,6.0,22.0,48.0,32.0,34.0,13.0,3.0,1.0,0.0
 120.95,  23.90,0.0,2.0,2.0,8.0,22.0,55.0,32.0,36.0,14.0,1.0,2.0,1.0
 121.00,  23.90,1.0,2.0,3.0,8.0,25.0,54.0,25.0,37.0,17.0,3.0,2.0,0.0
 121.05,  23.90,1.0,2.0,3.0,7.0,23.0,52.0,32.0,41.0,19.0,5.0,2.0,0.0
 121.10,  23.90,1.0,2.0,3.0,6.0,22.0,42.0,29.0,39.0,27.0,7.0,2.0,1.0
 121.15,  23.90,1.0,2.0,2.0,7.0,22.0,38.0,32.0,38.0,30.0,10.0,2.0,1.0
 121.20,  23.90,1.0,2.0,2.0,5.0,17.0,34.0,35.0,36.0,31.0,14.0,4.0,1.0
 121.25,  23.90,0.0,0.0,0.0,2.0,4.0,25.0,37.0,36.0,35.0,18.0,4.0,1.0
 121.30,  23.90,0.0,0.0,0.0,1.0,4.0,21.0,38.0,39.0,43.0,27.0,8.0,1.0
 120.25,  23.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 120.30,  23.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 120.35,  23.95,0.0,0.0,1.0,1.0,11.0,36.0,20.0,24.0,11.0,2.0,0.0,0.0
 120.40,  23.95,0.0,0.0,1.0,2.0,12.0,35.0,25.0,27.0,11.0,2.0,1.0,0.0
 120.45,  23.95,0.0,0.0,1.0,2.0,18.0,41.0,24.0,29.0,14.0,1.0,0.0,0.0
 120.50,  23.95,0.0,1.0,0.0,2.0,18.0,47.0,25.0,32.0,15.0,1.0,0.0,0.0
 120.55,  23.95,1.0,0.0,0.0,1.0,20.0,41.0,33.0,32.0,12.0,1.0,0.0,0.0
 120.60,  23.95,0.0,0.0,1.0,2.0,20.0,38.0,31.0,31.0,10.0,1.0,0.0,0.0
 120.65,  23.95,0.0,0.0,0.0,2.0,19.0,47.0,35.0,41.0,13.0,1.0,0.0,0.0
 120.70,  23.95,0.0,0.0,0.0,1.0,20.0,45.0,35.0,41.0,14.0,3.0,0.0,0.0
 120.75,  23.95,0.0,0.0,0.0,2.0,24.0,47.0,34.0,41.0,12.0,2.0,0.0,0.0
 120.80,  23.95,0.0,3.0,2.0,2.0,25.0,56.0,31.0,41.0,10.0,3.0,1.0,0.0
 120.85,  23.95,0.0,2.0,1.0,4.0,26.0,59.0,35.0,45.0,11.0,3.0,1.0,0.0
 120.90,  23.95,0.0,2.0,1.0,4.0,29.0,55.0,35.0,39.0,9.0,1.0,1.0,1.0
 120.95,  23.95,0.0,2.0,1.0,4.0,27.0,53.0,29.0,37.0,13.0,1.0,1.0,1.0
 121.00,  23.95,0.0,3.0,1.0,5.0,28.0,53.0,27.0,40.0,14.0,3.0,2.0,1.0
 121.05,  23.95,2.0,5.0,5.0,11.0,40.0,60.0,29.0,47.0,19.0,6.0,2.0,1.0
 121.10,  23.95,3.0,5.0,5.0,11.0,35.0,58.0,30.0,43.0,25.0,5.0,2.0,2.0
 121.15,  23.95,3.0,8.0,6.0,13.0,44.0,55.0,31.0,44.0,33.0,6.0,2.0,2.0
 121.20,  23.95,2.0,7.0,7.0,14.0,40.0,49.0,39.0,42.0,34.0,12.0,4.0,1.0
 121.25,  23.95,1.0,4.0,1.0,7.0,24.0,39.0,39.0,44.0,40.0,17.0,4.0,1.0
 121.30,  23.95,1.0,1.0,0.0,4.0,13.0,31.0,42.0,45.0,47.0,23.0,5.0,1.0
 120.30,  24.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 120.35,  24.00,0.0,1.0,1.0,1.0,10.0,25.0,19.0,22.0,13.0,2.0,0.0,0.0
 120.40,  24.00,0.0,2.0,1.0,2.0,10.0,31.0,20.0,24.0,11.0,1.0,0.0,0.0
 120.45,  24.00,0.0,1.0,1.0,2.0,13.0,41.0,23.0,27.0,15.0,1.0,0.0,0.0
 120.50,  24.00,0.0,1.0,1.0,2.0,17.0,47.0,25.0,30.0,15.0,1.0,0.0,0.0
 120.55,  24.00,1.0,1.0,1.0,3.0,20.0,46.0,29.0,34.0,13.0,1.0,0.0,0.0
 120.60,  24.00,1.0,1.0,3.0,2.0,22.0,44.0,31.0,37.0,12.0,1.0,0.0,0.0
 120.65,  24.00,1.0,0.0,1.0,3.0,21.0,42.0,33.0,37.0,14.0,1.0,0.0,0.0
 120.70,  24.00,1.0,0.0,0.0,2.0,22.0,45.0,33.0,36.0,13.0,1.0,0.0,0.0
 120.75,  24.00,1.0,1.0,0.0,2.0,22.0,49.0,35.0,39.0,14.0,2.0,0.0,0.0
 120.80,  24.00,0.0,0.0,2.0,2.0,23.0,53.0,31.0,47.0,13.0,3.0,1.0,0.0
 120.85,  24.00,0.0,2.0,2.0,5.0,33.0,63.0,34.0,49.0,15.0,3.0,1.0,0.0
 120.90,  24.00,0.0,2.0,1.0,5.0,37.0,62.0,36.0,42.0,13.0,2.0,1.0,1.0
 120.95,  24.00,0.0,2.0,1.0,6.0,32.0,60.0,35.0,40.0,15.0,3.0,2.0,1.0
 121.00,  24.00,0.0,4.0,2.0,8.0,41.0,68.0,33.0,46.0,16.0,4.0,1.0,1.0
 121.05,  24.00,2.0,6.0,5.0,11.0,51.0,72.0,35.0,48.0,20.0,4.0,2.0,1.0
 121.10,  24.00,2.0,6.0,5.0,11.0,47.0,64.0,30.0,47.0,20.0,6.0,2.0,1.0
